vendor_brand,vendor_sku,vendor_cost,vendor_core_cost,Stock,description,map_price
APW,MAF1056,181.82,0.00,8,Air Flow Sensor-New,
APW,MAF1057,158.96,0.00,11,Air Flow Sensor-New,
APW,MAF1058,150.46,0.00,8,Air Flow Sensor-New,
APW,MAF1059,160.77,0.00,9,Air Flow Sensor-New,
APW,MAF1060,127.65,0.00,9,Air Flow Sensor-New,
APW,MAF1062,148.55,0.00,8,Air Flow Sensor-New,
APW,MAF1063,191.67,0.00,7,Air Flow Sensor-New,
APW,MAF1064,181.82,0.00,8,Air Flow Sensor-New,
APW,MAF1065,111.96,0.00,9,Air Flow Sensor-New,
APW,MAF1066,190.91,0.00,8,Air Flow Sensor-New,
APW,MAF1067,106.40,0.00,8,Air Flow Sensor-New,
APW,MAF1068,180.81,0.00,7,Air Flow Sensor-New,
APW,MAF1069,189.08,0.00,8,Air Flow Sensor-New,
APW,MAF1070,210.18,0.00,7,Air Flow Sensor-New,
APW,MAF1071,130.17,0.00,9,Air Flow Sensor-New,
APW,MAF1072,181.18,0.00,7,Air Flow Sensor-New,
APW,MAF1073,105.01,0.00,9,Air Flow Sensor-New,
APW,MAF1074,151.14,0.00,9,Air Flow Sensor-New,
APW,MAF1075,131.97,0.00,8,Air Flow Sensor-New,
APW,MAF1076,154.00,0.00,7,Air Flow Sensor-New,
APW,MAF1077,145.01,0.00,11,Air Flow Sensor-New,
APW,MAF1078,149.63,0.00,7,Air Flow Sensor-New,
APW,MAF1079,143.86,0.00,7,Air Flow Sensor-New,
APW,MAF1080,94.00,0.00,8,Air Flow Sensor-New,
APW,MAF1081,152.20,0.00,9,Air Flow Sensor-New,
APW,MAF1082,143.67,0.00,9,Air Flow Sensor-New,
APW,MAF1083,209.54,0.00,6,Air Flow Sensor-New,
APW,MAF1085,127.02,0.00,9,Air Flow Sensor-New,
APW,MAF1086,114.62,0.00,4,Air Flow Sensor-New,
APW,MAF1087,160.10,0.00,9,Air Flow Sensor-New,
APW,MAF1088,176.38,0.00,9,Air Flow Sensor-New,
APW,MAF1089,162.73,0.00,9,Air Flow Sensor-New,
APW,MAF1090,111.09,0.00,10,Air Flow Sensor-New,
APW,MAF1091,154.34,0.00,9,Air Flow Sensor-New,
APW,MAF1094,206.91,0.00,9,Air Flow Sensor-New,
APW,MAF1096,128.15,0.00,5,Air Flow Sensor-New,
APW,MAF1097,137.44,0.00,9,Air Flow Sensor-New,
APW,MAF1099,240.24,0.00,8,Air Flow Sensor-New,
APW,MAF1100,166.45,0.00,9,Air Flow Sensor-New,
